state,county,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Unemployment Count,Race: White,Race: African American,Race: Hispanic or Latino,"US Citizen, born in US","US Citizen, by naturalization"
 Alabama,Autauga County,55200,37.8,58786,29372,8422,1065,42437,10565,1528,53385,579
 Alabama,Baldwin County,208107,42.8,55962,31203,21653,4343,179526,19764,9353,198875,3319
 Alabama,Barbour County,25782,39.9,34186,18461,6597,918,12216,12266,1106,25064,280
 Alabama,Bibb County,22527,39.9,45340,20199,2863,658,17268,5018,547,22083,129
 Alabama,Blount County,57645,40.8,48695,22656,8220,909,55054,862,5261,54877,876
 Alabama,Bullock County,10352,39.6,32152,20346,3110,490,2276,7893,51,10193,96
 Alabama,Butler County,20025,40.7,39109,20430,4640,567,10414,9055,67,19683,139
 Alabama,Calhoun County,115098,39.7,45197,24706,20819,4628,85558,23676,4203,110649,1497
 Alabama,Chambers County,33826,43,39872,22827,5531,773,19483,13319,768,33202,74
 Alabama,Cherokee County,25853,45.9,41014,23356,3827,581,23997,1267,398,25608,130
 Alabama,Chilton County,43930,38.6,45182,24611,8034,1336,36599,4148,3416,41656,346
 Alabama,Choctaw County,13075,46.1,34884,22182,2864,504,7420,5590,73,12983,40
 Alabama,Clarke County,24387,42.3,36127,21111,6088,1283,12935,11173,48,24275,67
 Alabama,Clay County,13378,43.7,41225,23147,2405,378,11106,1977,415,13117,85
 Alabama,Cleburne County,14938,42.5,40188,21989,2719,458,14068,393,362,14614,48
 Alabama,Coffee County,51288,39.3,53155,27577,7604,1371,38923,8829,3549,48089,824
 Alabama,Colbert County,54495,42.7,47558,24918,8785,1397,43288,8615,1349,53304,349
 Alabama,Conecuh County,12514,44.8,33177,17542,2752,505,6369,5971,105,12388,32
 Alabama,Coosa County,10855,46.9,38301,22963,1459,253,7133,3713,50,10727,3
 Alabama,Covington County,37351,43.9,40601,23071,6702,1428,31624,4826,604,36917,141
 Alabama,Crenshaw County,13865,41.5,39812,23353,2148,347,9938,3198,275,13562,78
 Alabama,Cullman County,82313,40.6,42558,22980,12831,1903,78392,998,3543,80037,746
 Alabama,Dale County,49255,37.5,45960,23837,8798,1738,35889,9749,3070,46154,704
 Alabama,Dallas County,40029,39.5,31602,18910,12247,1906,11257,28210,412,39421,162
 Alabama,DeKalb County,71200,39.3,39233,21004,15500,1351,60972,1004,10220,65531,980
 Alabama,Elmore County,81212,38.6,59347,27475,9462,2219,60824,17402,2347,78853,676
 Alabama,Escambia County,37328,39.7,35000,18161,8268,1895,23095,11920,838,36718,234
 Alabama,Etowah County,102939,41.3,44023,24065,17524,2945,82710,16212,3880,99266,1097
 Alabama,Fayette County,16585,43.8,37458,21862,3258,483,14095,1978,285,16394,127
 Alabama,Franklin County,31542,37.6,40459,19776,6299,840,26467,1388,5333,28496,505
 Alabama,Geneva County,26491,42.4,38142,20471,6282,945,22871,2529,1027,25734,172
 Alabama,Greene County,8426,42.5,21804,14209,3225,415,1445,6713,143,8415,5
 Alabama,Hale County,14887,39.2,30571,20272,3809,686,5898,8748,130,14750,57
 Alabama,Henry County,17124,44.1,48610,24069,2270,494,12179,4749,448,16864,44
 Alabama,Houston County,104352,39.8,45496,25990,18913,3354,72387,28078,3437,101046,1129
 Alabama,Jackson County,52094,43.3,39816,21608,10418,1277,47412,1799,1505,51005,451
 Alabama,Jefferson County,659892,37.7,51979,30657,109707,23663,342591,281702,25048,628921,8951
 Alabama,Lamar County,13933,44.5,36756,21666,2916,465,12187,1558,218,13834,18
 Alabama,Lauderdale County,92585,41.4,46265,27189,13703,2267,80561,9364,2412,90248,668
 Alabama,Lawrence County,33171,42.2,44515,23557,5508,766,25942,3627,707,32830,104
 Alabama,Lee County,159287,31.4,48056,26960,32815,4411,111986,36675,5865,148108,2693
 Alabama,Limestone County,93052,39.5,56460,27699,12384,2957,75143,12468,5479,88627,1402
 Alabama,Lowndes County,10236,41.6,30833,19491,2820,450,2546,7601,70,10127,17
 Alabama,Macon County,19054,38,32074,20125,4302,1006,3025,15740,328,18733,82
 Alabama,Madison County,357560,38.5,63417,35526,45960,10632,243835,86012,17294,331090,9690
 Alabama,Marengo County,19538,42.7,32809,23056,4201,706,8855,10518,115,19435,12
 Alabama,Marion County,29965,44.3,35392,21391,5144,708,27886,1097,752,29549,186
 Alabama,Marshall County,95145,38.7,42490,23833,20354,2091,87887,2456,12961,88094,1165
 Alabama,Mobile County,414659,37.6,46166,25215,78208,11514,243658,147434,11973,397629,7186
 Alabama,Monroe County,21512,42.3,30141,18890,6561,1359,11814,8927,302,21362,97
 Alabama,Montgomery County,226941,36.2,47990,28008,45479,8243,82862,130866,7749,213865,3764
